Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

34240/50000 [===================>..........] - ETA: 2s - loss: 0.6501
34560/50000 [===================>..........] - ETA: 2s - loss: 0.6501
34816/50000 [===================>..........] - ETA: 2s - loss: 0.6501
35072/50000 [====================>.........] - ETA: 2s - loss: 0.6500
35328/50000 [====================>.........] - ETA: 2s - loss: 0.6500
35584/50000 [====================>.........] - ETA: 2s - loss: 0.6499
35904/50000 [====================>.........] - ETA: 2s - loss: 0.6499
36160/50000 [====================>.........] - ETA: 2s - loss: 0.6499
36416/50000 [====================>.........] - ETA: 2s - loss: 0.6498
36672/50000 [=====================>........] - ETA: 2s - loss: 0.6498
36928/50000 [=====================>........] - ETA: 2s - loss: 0.6498
37184/50000 [=====================>........] - ETA: 2s - loss: 0.6498
37440/50000 [=====================>........] - ETA: 2s - loss: 0.6498
37696/50000 [=====================>........] - ETA: 2s - loss: 0.6497
37952/50000 [=====================>........] - ETA: 2s - loss: 0.6497
38144/50000 [=====================>........] - ETA: 2s - loss: 0.6497
38464/50000 [======================>.......] - ETA: 2s - loss: 0.6496
38784/50000 [======================>.......] - ETA: 2s - loss: 0.6496
39104/50000 [======================>.......] - ETA: 1s - loss: 0.6495
39296/50000 [======================>.......] - ETA: 1s - loss: 0.6495
39488/50000 [======================>.......] - ETA: 1s - loss: 0.6495
39744/50000 [======================>.......] - ETA: 1s - loss: 0.6494
40064/50000 [=======================>......] - ETA: 1s - loss: 0.6494
40320/50000 [=======================>......] - ETA: 1s - loss: 0.6494
40576/50000 [=======================>......] - ETA: 1s - loss: 0.6494
40832/50000 [=======================>......] - ETA: 1s - loss: 0.6494
41088/50000 [=======================>......] - ETA: 1s - loss: 0.6493
41344/50000 [=======================>......] - ETA: 1s - loss: 0.6493
41600/50000 [=======================>......] - ETA: 1s - loss: 0.6493
41792/50000 [========================>.....] - ETA: 1s - loss: 0.6493
42048/50000 [========================>.....] - ETA: 1s - loss: 0.6493
42368/50000 [========================>.....] - ETA: 1s - loss: 0.6493
42624/50000 [========================>.....] - ETA: 1s - loss: 0.6492
42944/50000 [========================>.....] - ETA: 1s - loss: 0.6492
43136/50000 [========================>.....] - ETA: 1s - loss: 0.6492
43392/50000 [=========================>....] - ETA: 1s - loss: 0.6492
43712/50000 [=========================>....] - ETA: 1s - loss: 0.6492
44032/50000 [=========================>....] - ETA: 1s - loss: 0.6491
44096/50000 [=========================>....] - ETA: 1s - loss: 0.6491
44480/50000 [=========================>....] - ETA: 1s - loss: 0.6491
